,title,artist
692,Show Me The Meaning Of Being Lonely,Backstreet Boys
693,Show Me The Way,Peter Frampton
694,Show Me The Way,Styx
695,Shower,Becky G
696,Shy Guy,Diana King
697,Sign Your Name,Terence Trent d'Arby
698,Separate Ways,Journey
699,Signs,Tesla
700,Simply Irresistible,Robert Palmer
701,Sing,Carpenters
702,Sing,Ed Sheeran
703,Sing A Song,"Earth, Wind and Fire"
704,Sink The Bismark,Johnny Horton
705,Sister Christian,Night Ranger
706,Sister Golden Hair,America
707,Silence Is Golden,Tremeloes
708,Solitaire,Laura Branigan
709,Separate Lives,Phil Collins
710,Send One Your Love,Stevie Wonder
711,"Right Place, Wrong Time",Dr. John
712,Right Time Of The Night,Jennifer Warnes
713,Rikki Don't Lose That Number,Steely Dan
714,Riptide,Vance Joy
715,Rock 'N' Roll Fantasy,Bad Company
716,Rock And Roll Dreams Come Through,Meat Loaf
717,Rock Me Gently,Andy Kim
718,Rock The Boat,Hues Corporation
719,Rock The Casbah,Clash
720,Rock Wit U,Ashanti
721,Rock Your Baby,George McCrae
722,Rock Your Body,Justin Timberlake
723,Rocket Man,Elton John
724,Rockin' Robin,Michael Jackson
725,Rockstar,Nickelback
726,Right Now,Akon
727,Rocky Mountain High,John Denver
728,Right Back Where We Started From,Maxine Nightingale
729,Rich Girl,Gwen Stefani
730,Red Red Wine,UB40
731,Reelin' In The Years,Steely Dan
732,Reflections,Diana Ross and The Supremes
733,Reflections Of My Life,Marmalade
734,Rehab,Amy Winehouse
735,Release Me,Engelbert Humperdinck
736,Reminiscing,Little River Band
737,Renegade,Styx
738,Renegades,X Ambassadors
739,Return To Innocence,Enigma
740,Rhythm Is Gonna Get You,Gloria Estefan and Miami Sound Machine
741,Rhythm Nation,Janet Jackson
742,Rhythm Of My Heart,Rod Stewart
743,Rhythm Of The Night,Debarge
744,Rich Girl,Daryl Hall and John Oates
745,Ridin' Solo,Jason Derulo
746,Roll To Me,Del Amitri
747,Roll Up,Wiz Khalifa
748,Romeo's Tune,Steve Forbert
749,Savin' Me,Nickelback
750,Saving All My Love For You,Whitney Houston
751,Saving Forever For You,Shanice
752,Say Aah,Trey Songz
753,Say You Love Me,Fleetwood Mac
754,Say You Will,Foreigner
755,Say You'll Be There,Spice Girls
756,Scar Tissue,Red Hot Chili Peppers
757,Scars,Papa Roach
758,School Is Out,"Gary ""U.S."" Bonds"
759,Scream,Usher
760,Second Chance,Shinedown
761,Secret,Madonna
762,Secret Agent Man,Johnny Rivers
763,See You Again,Miley Cyrus
764,Save Your Heart For Me,Gary Lewis and The Playboys
765,Saturday Night,Bay City Rollers
766,Satisfied,Richard Marx
767,Sara,Starship
768,Rompe,Daddy Yankee
769,Rose Garden,Lynn Anderson
770,Roses,OutKast
771,Rub You The Right Way,Johnny Gill
772,Ruby Tuesday,Rolling Stones
773,"Run Away Child, Running Wild",Temptations
774,Run To You,Bryan Adams
775,Sensual Seduction,Snoop Dogg
776,Runaway Love,Ludacris
777,Sad Songs,Elton John
778,Said I Loved You...But I Lied,Michael Bolton
779,Sail,AWOLNATION
780,Sailing,Christopher Cross
781,Salt Shaker,Ying Yang Twins
782,Same Love,Macklemore
783,San Francisco,Scott Mckenzie
784,Running With The Night,Lionel Richie
785,Real Love,Mary J. Blige
786,Some Kind Of Wonderful,Grand Funk
787,Somebody To Love,Jefferson Airplane
788,Take My Breath Away,Berlin
789,Take Time To Know Her,Percy Sledge
790,Take You There,Sean Kingston
791,Takin' Care Of Business,Bachman-Turner Overdrive
792,Talk To Me,Stevie Nicks
